product_category_name,price,payment_sequential,payment_installments,bank_clients,month,year
assinatura_de_servicos,33.0,1,1,Mike,3,2017
taxi_transporte_por_aplicativo,174.56,1,1,Jeff,12,2019
artigos_esportivos,36.86,1,1,Sergio,10,2019
associacoes_clubes,84.3,1,1,Mariama,12,2017
farmacia,34.29,1,2,Sita,8,2019
videogames,104.8,1,1,Shah,1,2022
cursos_idiomas,157.66,1,6,Tun,8,2016
assinatura_de_servicos,42.01,1,8,Sergio,1,2022
videogames,190.35,1,1,Simone,3,2019
padaria,135.0,1,1,Luz,6,2017
assinatura_de_servicos,89.56,1,1,Sayed,4,2018
associacoes_clubes,220.02,1,1,Monica,7,2020
jardinagem,69.69,1,1,Luisa,12,2022
estacionamento,105.37,1,3,Hieu,1,2016
entrega,77.75,1,8,Linh,5,2020
cursos_idiomas,203.3,1,1,Cynthia,5,2015
moveis_decoracao,220.04,1,10,Yoko,9,2018
hospedagem,50.1,1,1,Zhihua,1,2016
supermercado_mercearia,101.73,1,1,Lal,5,2016
associacoes_clubes,57.63,1,1,Kseniya,8,2017
produtos_de_beleza,56.66,1,1,Christina,9,2019
bares_e_bebidas,136.99,1,1,Gang,5,2017
spa_massagem,48.71,3,3,Gustavo,3,2017
padaria,68.41,1,1,Luz,1,2017
outros_cursos,48.71,1,1,Leila,3,2017
estacionamento,87.13,1,1,Claudio,11,2017
loja_de_conveniencia,213.56,1,2,Jianming,3,2018
outros_gastos_saude,167.09,1,4,Shah,11,2018
hospedagem,88.92,1,1,Mariama,2,2016
livraira_papelaria,44.28,2,1,Arthur,11,2019
jardinagem,35.36,1,1,Saroj,11,2021
eletronicos,80.18,1,10,Claudio,3,2021
outros_cursos,50.48,1,1,Hieu,5,2019
loja_de_conveniencia,150.37,1,5,Hossein,7,2018
associacoes_clubes,61.68,1,4,Adel,7,2016
combustível,38.01,1,1,Solomon,1,2021
entrega,61.79,2,2,Simone,3,2018
lavanderia,39.08,1,6,Yuhua,6,2019
salao_barbearia,27.39,1,1,Joao,9,2016
loja_de_conveniencia,89.19,1,2,Ursula,6,2018
tv_internet,67.3,1,10,Nikolay,4,2020
combustível,93.48,1,1,Khalid,2,2017
produtos_de_beleza,107.78,1,5,Pramila,7,2022
livraira_papelaria,90.99,1,1,Priyanka,12,2017
supermercado_mercearia,1053.84,1,1,Tania,4,2021
padaria,133.2,1,1,Zhihua,10,2020
entrega,40.99,1,1,Sara,2,2019
produtos_de_beleza,48.69,1,1,Hossein,3,2018
tv_internet,156.63,1,10,Nikolay,11,2022
mercadorias_em_geral,120.74,1,8,Mikhail,5,2015
spa_massagem,49.69,1,1,Wenjie,1,2017
entrega,35.38,1,5,Khalid,12,2021
jardinagem,26.78,1,10,Sam,11,2016
livraira_papelaria,78.48,1,10,Herbert,12,2016
veterinario,32.38,1,1,Qinghua,9,2022
academia,22.38,1,8,Xiaomin,1,2021
veterinario,48.0,1,1,Ravi,10,2021
academia,70.72,1,2,Monica,3,2016
combustível,57.69,1,1,Hieu,1,2021
salao_barbearia,163.06,1,1,Pramila,11,2020
cursos_idiomas,427.77,1,1,Khalid,4,2020
supermercado_mercearia,206.99,1,4,Ursula,4,2019
academia,116.57,1,1,Sergey,4,2021
cursos_idiomas,31.05,1,1,Joseph,4,2017
combustível,103.26,1,1,Manfred,7,2021
estacionamento,84.58,1,1,Kim,2,2022
salao_barbearia,78.1,1,6,Luisa,1,2015
lavanderia,1076.76,1,2,Joao,1,2021
tv_internet,103.38,1,1,Sam,10,2017
lavanderia,165.8,1,1,Sara,11,2019
veterinario,58.1,1,1,Zainab,3,2015
mercadorias_em_geral,98.88,1,10,Adam,11,2017
cafeteria,112.99,1,8,Nguyen,5,2022
estacionamento,164.35,2,1,Linh,1,2020
estacionamento,24.34,1,1,Tania,4,2015
passagem_aerea_taxas,412.64,1,1,Zhihua,1,2016
loja_de_conveniencia,44.51,1,1,Leila,2,2020
bares_e_bebidas,116.24,1,1,Joseph,1,2021
artigos_esportivos,112.14,1,1,Joao,2,2019
pet_shop,105.15,1,1,Roman,7,2016
hospedagem,168.37,1,1,Nikolay,8,2017
outros_gastos_saude,137.99,1,1,Joao,10,2018
academia,82.65,1,1,Saroj,2,2021
outros_gastos_saude,197.69,1,3,Simone,7,2016
tv_internet,56.88,1,1,Mariama,8,2022
associacoes_clubes,20.0,1,4,Suresh,7,2019
cafeteria,218.27,1,1,Priyanka,8,2016
moveis_decoracao,44.48,1,3,Joseph,3,2018
cinema,76.66,1,8,Kassa,8,2015
mercadorias_em_geral,103.75,1,1,Radha,12,2015
outros_gastos_saude,53.88,1,4,Gregory,7,2021
taxi_transporte_por_aplicativo,55.24,1,1,Xiaomin,12,2022
cinema,128.2,1,8,Gopal,9,2019
assinatura_de_servicos,68.88,1,4,Xiaoling,8,2019
moveis_decoracao,76.02,1,3,Virginia,7,2018
ingresso_entretenimento,89.27,1,1,Shigeru,6,2018
passagem_aerea_taxas,176.76,1,1,Claudio,12,2018
videogames,1257.96,1,1,Simone,2,2020
academia,249.25,1,2,Kim,3,2017
entrega,48.9,1,1,Luz,1,2017
entrega,42.51,1,4,Ming,10,2018
tv_internet,177.12,1,4,Farzana,12,2022
restaurantes,262.69,1,6,Ravi,2,2022
academia,20.0,1,1,Joseph,10,2015
farmacia,57.38,1,1,Nina,3,2018
ingresso_entretenimento,158.21,1,8,Hieu,7,2018
restaurantes,94.32,1,1,Nur,8,2018
ingresso_entretenimento,122.21,1,1,Cynthia,2,2015
loja_de_conveniencia,154.42,1,1,Richard,3,2020
cursos_idiomas,176.83,1,1,Radha,8,2022
combustível,876.82,1,1,Nikolay,6,2021
salao_barbearia,60.78,1,10,Petra,12,2016
brinquedos_artigos_infantis,42.51,1,5,Gregory,10,2022
farmacia,43.78,1,3,Zainab,1,2019
brinquedos_artigos_infantis,62.71,1,18,Luz,12,2016
bares_e_bebidas,97.26,1,1,Ramesh,12,2022
moveis_decoracao,51.14,1,5,Yuhua,2,2021
ingresso_entretenimento,77.08,1,1,Tun,5,2021
veterinario,163.25,1,1,Adam,10,2019
veterinario,126.85,1,2,Ravi,12,2016
passagem_aerea_taxas,27.74,1,4,Yusuf,6,2020
veterinario,280.08,1,3,Saroj,8,2022
assinatura_de_servicos,35.36,1,3,Abdul,7,2020
vestuario_e_acessorios,126.02,1,2,Paula,7,2015
outros_cursos,200.92,1,1,Luisa,8,2021
artigos_esportivos,102.28,1,4,Kathy,11,2022
outros_cursos,75.15,1,1,Adam,4,2017
tv_internet,26.29,1,1,Usha,6,2019
taxi_transporte_por_aplicativo,619.95,1,5,Wenjie,1,2015
restaurantes,216.4,1,1,Leila,8,2020
vestuario_e_acessorios,77.64,1,6,Tania,1,2017
eletronicos,44.52,1,8,Mohamad,7,2021
tv_internet,72.18,1,1,Michael,7,2022
videogames,323.87,1,1,Karina,5,2022
cinema,265.5,1,7,Arthur,1,2020
livraira_papelaria,192.12,1,5,Kathy,10,2021
jardinagem,160.22,2,10,Yuhua,6,2021
taxi_transporte_por_aplicativo,73.34,1,6,Radha,10,2020
supermercado_mercearia,45.27,1,1,Qinghua,10,2020
jardinagem,229.54,1,2,Miguel,7,2020
jardinagem,247.48,1,1,Solomon,9,2020
cinema,358.53,1,1,Nguyen,7,2016
lavanderia,51.79,1,1,Arthur,2,2020
loja_de_conveniencia,53.56,1,1,Sara,6,2022
taxi_transporte_por_aplicativo,123.61,1,1,Hatice,4,2021
entrega,230.7,1,1,Gustavo,4,2020
taxi_transporte_por_aplicativo,323.47,1,1,Sam,5,2018
cafeteria,255.33,1,1,Sita,1,2018
academia,70.74,1,1,Sumitra,9,2016
livraira_papelaria,142.9,1,10,Virginia,8,2016
spa_massagem,100.0,1,1,Claudio,9,2022
outros_gastos_saude,117.16,1,1,Sumitra,12,2020
cursos_idiomas,108.33,1,1,Petra,10,2022
outros_esportes,305.89,1,1,Zhigang,6,2019
outros_gastos_saude,63.89,1,3,Yusuf,5,2017
supermercado_mercearia,30.38,1,3,Wendy,1,2019
estacionamento,54.99,1,1,Cynthia,12,2020
lavanderia,122.37,1,4,Adel,2,2016
cafeteria,225.72,1,1,Kim,1,2021
cinema,131.62,1,2,Miguel,7,2016
padaria,100.14,1,2,Gustavo,10,2018
associacoes_clubes,18.85,1,1,Elizabeth,11,2021
cursos_idiomas,171.61,1,1,Shu,10,2018
taxi_transporte_por_aplicativo,148.69,1,3,Norma,2,2019
ingresso_entretenimento,674.83,1,1,Manfred,8,2019
mercadorias_em_geral,90.13,1,2,Sayed,4,2021
loja_de_conveniencia,117.96,1,1,Lal,4,2021
videogames,102.64,1,2,Usha,11,2018
tv_internet,188.0,1,4,Sita,4,2020
supermercado_mercearia,245.57,1,1,Gopal,12,2018
spa_massagem,162.07,1,2,Luz,10,2015
medico,171.0,1,1,Zhihua,3,2017
mercadorias_em_geral,73.34,1,8,Xiaoling,4,2021
outros_gastos_saude,152.89,1,4,Kseniya,4,2018
jardinagem,882.46,4,3,Qinghua,9,2021
videogames,45.67,1,4,Nguyen,10,2019
pet_shop,182.91,1,2,Luiz,2,2018
entrega,73.34,1,1,Zainab,9,2017
supermercado_mercearia,92.57,1,5,Sergey,6,2017
jardinagem,57.88,1,8,Yuhua,6,2020
spa_massagem,55.46,1,1,Cong,1,2020
taxi_transporte_por_aplicativo,62.8,1,1,Cynthia,3,2021
videogames,129.79,1,5,Joao,9,2019
moveis_decoracao,133.08,1,3,Adam,10,2019
tv_internet,1228.03,2,1,Sara,2,2016
mercadorias_em_geral,162.25,1,6,Sayed,10,2018
estacionamento,95.0,1,1,Claudio,11,2022
outros_cursos,63.8,1,1,Tania,9,2020
lavanderia,324.04,1,1,Kassa,11,2015
moveis_decoracao,31.72,1,2,Claudio,10,2020
medico,611.68,1,1,Sumitra,9,2016
produtos_de_beleza,318.34,1,1,Cynthia,5,2019
produtos_de_beleza,44.75,1,1,Haiying,6,2022
videogames,51.32,1,1,Sergey,4,2017
eletronicos,136.59,1,1,Jianmin,8,2015
artigos_esportivos,35.09,1,5,Luiz,6,2017
ingresso_entretenimento,99.43,1,1,Jeff,5,2019
tv_internet,109.79,1,9,Anna,1,2016
loja_de_conveniencia,933.12,1,1,Hossein,11,2016
associacoes_clubes,392.02,1,5,Adel,2,2019
moveis_decoracao,203.9,1,2,Wenjie,5,2019
artigos_esportivos,96.0,1,4,Kassa,8,2018
outros_cursos,120.8,1,1,Shu,12,2017
videogames,419.89,1,1,Jacob,4,2018
outros_cursos,241.72,1,1,Norma,9,2021
salao_barbearia,201.65,1,2,Kathy,1,2016
academia,8.2,1,4,Richard,2,2015
pet_shop,151.3,1,1,Richard,11,2018
associacoes_clubes,148.47,1,1,Ramesh,1,2015
cinema,169.64,1,1,Manfred,10,2018
brinquedos_artigos_infantis,48.85,1,3,Wendy,2,2020
supermercado_mercearia,133.47,1,8,Wenjie,2,2017
videogames,226.97,1,4,Mariama,12,2019
farmacia,36.35,1,8,Gopal,1,2021
moveis_decoracao,89.88,1,10,Elizabeth,12,2021
entrega,167.87,1,8,Osman,1,2017
padaria,257.92,2,3,Zhihua,1,2021
outros_cursos,307.56,1,5,Sita,11,2020
academia,246.26,5,8,Chantal,11,2016
combustível,174.74,1,1,Osman,12,2018
assinatura_de_servicos,473.58,2,1,Ming,7,2021
ingresso_entretenimento,43.69,1,6,Simone,5,2016
produtos_de_beleza,121.72,1,4,Arthur,12,2015
loja_de_conveniencia,192.01,1,8,Haiying,11,2015
spa_massagem,80.51,1,1,Kseniya,7,2016
hospedagem,30.69,1,4,Wenjie,5,2020
cafeteria,157.28,1,1,Christina,10,2017
jardinagem,120.88,1,8,Gang,3,2015
livraira_papelaria,90.17,1,6,Adam,9,2015
bares_e_bebidas,15.43,1,2,Nina,9,2022
ingresso_entretenimento,37.86,1,1,Xiaoling,12,2022
veterinario,335.48,1,1,Osman,10,2020
outros_gastos_saude,68.12,1,10,Khalid,9,2016
dentista,142.1,1,1,Mariama,8,2020
medico,55.0,1,1,Wendy,11,2018
ingresso_entretenimento,116.97,1,2,Cynthia,4,2021
moveis_decoracao,62.44,1,1,Kseniya,8,2019
taxi_transporte_por_aplicativo,47.74,1,5,Wendy,11,2017
restaurantes,223.8,1,10,Claudio,8,2021
medico,26.26,1,10,Petra,9,2020
restaurantes,224.7,2,1,Yuhua,8,2016
outros_esportes,40.09,2,3,Anna,7,2020
spa_massagem,131.76,1,1,Claudio,12,2018
livraira_papelaria,150.78,1,10,Roman,2,2016
moveis_decoracao,169.94,1,4,Farzana,6,2020
cinema,235.28,1,2,Luz,4,2015
livraira_papelaria,99.34,1,4,Nikolay,6,2021
cinema,382.25,1,6,Wenjie,8,2016
taxi_transporte_por_aplicativo,96.49,11,1,Zainab,2,2016
hospedagem,163.79,1,2,Sam,3,2020
combustível,442.36,1,1,Anna,7,2020
mercadorias_em_geral,111.81,1,4,Ursula,3,2021
produtos_de_beleza,89.27,1,1,Mikhail,7,2016
moveis_decoracao,63.27,1,1,Gopal,1,2015
vestuario_e_acessorios,87.32,1,6,Michael,9,2017
supermercado_mercearia,67.5,1,1,Tania,1,2019
eletronicos,164.06,1,4,Michael,2,2022
medico,66.44,1,1,Farzana,7,2017
combustível,290.72,1,1,Saroj,12,2022
passagem_aerea_taxas,272.36,1,1,Hossein,9,2022
mercadorias_em_geral,192.03,1,2,Amy,5,2019
loja_de_conveniencia,46.6,1,1,Ming,4,2016
dentista,219.75,1,3,Sita,2,2015
hospedagem,27.25,1,1,Miguel,6,2022
associacoes_clubes,45.89,2,10,Nguyen,3,2019
jardinagem,99.43,1,6,Sam,1,2015
pet_shop,88.49,1,3,Sita,9,2019
dentista,58.29,1,1,Radha,6,2017
entrega,101.93,1,3,Lal,8,2022
ingresso_entretenimento,48.13,1,1,Sumitra,7,2021
padaria,35.0,1,8,Saroj,10,2017
associacoes_clubes,111.42,1,1,Zainab,10,2017
passagem_aerea_taxas,38.75,1,6,Lal,9,2016
passagem_aerea_taxas,20.75,1,2,Heba,8,2015
livraira_papelaria,125.93,1,1,Sita,9,2017
estacionamento,143.49,1,1,Herbert,3,2016
medico,62.65,1,2,Sita,7,2017
eletronicos,73.84,1,3,Wenjie,12,2021
supermercado_mercearia,158.88,1,7,Nikolay,3,2018
moveis_decoracao,124.43,1,1,Sara,11,2016
academia,2.49,1,1,Hatice,8,2016
taxi_transporte_por_aplicativo,131.94,1,2,Kamal,1,2015
supermercado_mercearia,49.09,1,1,Yoko,10,2021
spa_massagem,34.85,1,1,Tun,8,2022
entrega,276.76,1,1,Kassa,10,2020
livraira_papelaria,23.38,1,1,Kassa,6,2022
bares_e_bebidas,281.36,1,1,Gang,8,2022
outros_gastos_saude,196.25,1,1,Sam,7,2022
cinema,261.13,1,2,Mohamad,2,2018
outros_cursos,33.52,1,5,Luiz,7,2016
padaria,50.46,1,2,Khalid,3,2016
salao_barbearia,76.56,1,10,Jacob,1,2020
brinquedos_artigos_infantis,64.74,1,10,Xiaomin,2,2021
supermercado_mercearia,349.99,1,3,Ursula,3,2015
loja_de_conveniencia,112.79,1,1,Joseph,11,2018
eletronicos,57.34,1,1,Yoko,2,2018
farmacia,36.78,1,6,Norma,4,2020
estacionamento,311.1,1,1,Usha,3,2018
loja_de_conveniencia,91.19,1,10,Saroj,3,2019
lavanderia,52.68,1,1,Monica,6,2019
moveis_decoracao,117.57,1,8,Nur,8,2017
dentista,56.31,1,3,Adam,12,2016
supermercado_mercearia,45.86,1,1,Ming,6,2020
lavanderia,69.32,1,1,Shigeru,8,2017
hospedagem,68.12,1,1,Arthur,12,2019
tv_internet,57.99,1,1,Paula,5,2016
artigos_esportivos,31.29,1,3,Sam,6,2022
artigos_esportivos,167.63,1,1,Mariama,4,2016
cursos_idiomas,65.17,1,2,Sumitra,12,2019
livraira_papelaria,143.06,1,1,Sam,7,2018
tv_internet,116.24,1,4,Paula,2,2019
entrega,2844.96,1,8,Monica,6,2020
passagem_aerea_taxas,110.09,1,8,Yusuf,1,2022
veterinario,135.49,1,1,Abdul,1,2022
restaurantes,27.68,1,2,Richard,7,2015
taxi_transporte_por_aplicativo,26.85,1,1,Claudio,10,2018
produtos_de_beleza,73.15,1,6,Herbert,3,2015
bares_e_bebidas,124.18,1,4,Nikolay,12,2021
pet_shop,25.0,2,1,Yusuf,5,2018
eletronicos,713.59,1,6,Abdul,6,2022
outros_cursos,291.28,1,1,Adam,12,2019
artigos_esportivos,213.46,1,10,Luisa,1,2020
cafeteria,51.14,1,1,Paula,1,2018
cafeteria,117.24,1,1,Luz,8,2020
dentista,441.79,2,4,Michael,7,2022
entrega,1423.54,1,1,Shigeru,8,2019
assinatura_de_servicos,61.37,1,1,Norma,10,2019
farmacia,236.88,1,5,Ravi,3,2018
loja_de_conveniencia,170.73,1,1,Shigeru,12,2019
entrega,649.15,2,1,Jacob,1,2021
taxi_transporte_por_aplicativo,117.96,1,3,Haiying,12,2020
farmacia,32.77,1,1,Abdul,2,2020
farmacia,100.25,1,1,Nguyen,12,2022
outros_esportes,166.06,1,4,Mariama,3,2016
brinquedos_artigos_infantis,151.6,7,2,Kseniya,5,2016
livraira_papelaria,51.5,1,6,Pramila,12,2016
pet_shop,87.22,1,1,Kim,4,2022
brinquedos_artigos_infantis,367.2,1,1,Kim,11,2022
artigos_esportivos,85.62,1,6,Zhihua,6,2016
cursos_idiomas,22.34,1,1,Elizabeth,4,2021
passagem_aerea_taxas,247.52,1,1,Kim,11,2021
artigos_esportivos,168.45,1,7,Karina,6,2015
cursos_idiomas,188.42,1,3,Xiaomin,9,2022
livraira_papelaria,64.23,1,1,Heba,6,2018
outros_cursos,50.73,1,1,Luiz,8,2016
moveis_decoracao,187.15,1,1,Shigeru,1,2017
associacoes_clubes,0.34,1,4,Joao,9,2021
tv_internet,101.34,1,10,Leila,4,2020
artigos_esportivos,97.03,1,1,Adel,7,2015
lavanderia,227.57,1,8,Heba,2,2020
medico,80.2,1,1,Nina,12,2021
mercadorias_em_geral,85.52,1,1,Sergio,11,2020
veterinario,49.25,1,1,Cynthia,8,2015
moveis_decoracao,46.69,1,2,Miguel,7,2017
restaurantes,83.87,1,1,Manfred,3,2016
ingresso_entretenimento,349.99,1,2,Miguel,11,2015
outros_gastos_saude,41.1,1,2,Gang,5,2017
artigos_esportivos,109.83,1,2,Priyanka,9,2020
loja_de_conveniencia,237.77,1,5,Qiang,8,2015
videogames,92.81,1,3,Joseph,1,2020
academia,265.9,1,4,Zhihua,9,2022
salao_barbearia,75.17,1,1,Yoko,12,2015
cafeteria,241.93,1,2,Joseph,1,2022
bares_e_bebidas,148.06,1,1,Zainab,7,2016
dentista,15.89,1,2,Elizabeth,11,2015
dentista,229.07,1,1,Nur,7,2019
cafeteria,163.38,1,1,Ida,11,2017
restaurantes,43.0,1,2,Pramila,5,2019
bares_e_bebidas,26.77,1,3,Priyanka,6,2019
padaria,79.23,1,3,Wenjie,8,2017
produtos_de_beleza,1930.34,1,10,Kim,11,2017
passagem_aerea_taxas,66.67,1,1,Pramila,12,2015
pet_shop,137.04,1,1,Osman,1,2021
estacionamento,110.67,1,5,Solomon,6,2019
vestuario_e_acessorios,44.78,1,8,Jianming,8,2017
produtos_de_beleza,87.41,1,1,Hieu,1,2020
pet_shop,40.57,1,3,Ramesh,6,2018
livraira_papelaria,133.76,1,1,Simone,3,2019
bares_e_bebidas,204.07,1,1,Priyanka,10,2018
cafeteria,138.15,1,10,Nina,7,2017
dentista,85.79,1,1,Arthur,1,2019
dentista,75.42,1,1,Jianming,10,2018
ingresso_entretenimento,87.03,1,4,Shigeru,12,2019
academia,46.1,1,3,Sayed,7,2017
veterinario,77.09,1,1,Hatice,9,2021
eletronicos,42.13,1,2,Miguel,6,2020
entrega,89.25,2,10,Linh,12,2018
produtos_de_beleza,77.57,1,4,Hossein,10,2015
eletronicos,56.7,1,1,Gustavo,3,2020
produtos_de_beleza,200.21,1,1,Sara,12,2016
livraira_papelaria,34.44,1,1,Jeff,2,2016
mercadorias_em_geral,96.71,1,1,Sam,2,2016
moveis_decoracao,178.98,1,6,Cynthia,6,2022
passagem_aerea_taxas,351.33,1,3,Xiaomin,7,2022
lavanderia,135.08,5,5,Ming,5,2015
cinema,61.46,1,1,Saroj,7,2022
outros_gastos_saude,139.09,1,1,Haiying,4,2016
livraira_papelaria,98.51,1,1,Sara,5,2018
dentista,208.05,1,1,Yuhua,1,2021
bares_e_bebidas,114.35,1,1,Kim,6,2019
entrega,288.46,2,1,Farzana,9,2020
spa_massagem,48.59,1,1,Kassa,5,2015
estacionamento,121.7,1,3,Kseniya,3,2016
spa_massagem,50.05,1,1,Claudio,7,2020
passagem_aerea_taxas,88.92,1,1,Zhihua,6,2018
estacionamento,111.6,1,1,Miguel,9,2017
jardinagem,56.16,1,1,Nina,7,2015
taxi_transporte_por_aplicativo,97.0,1,10,Paula,7,2021
eletronicos,192.28,1,1,Sita,8,2021
dentista,35.05,1,1,Sita,3,2015
cursos_idiomas,20.61,1,1,Haiying,8,2017
bares_e_bebidas,103.55,1,4,Gang,10,2020
restaurantes,114.27,1,1,Luz,2,2016
outros_cursos,53.9,1,1,Kim,3,2018
tv_internet,444.25,1,10,Leila,1,2021
cinema,251.74,1,1,Ravi,3,2019
eletronicos,83.5,1,1,Linh,4,2022
bares_e_bebidas,45.31,1,1,Farzana,11,2019
produtos_de_beleza,59.7,1,1,Heba,5,2016
hospedagem,218.04,1,1,Usha,9,2021
combustível,76.51,1,1,Ravi,9,2021
bares_e_bebidas,88.6,3,1,Zhigang,6,2017
tv_internet,106.06,1,1,Amy,10,2021
cinema,92.84,1,1,Priyanka,8,2016
loja_de_conveniencia,189.37,1,1,Yuhua,11,2018
farmacia,21.59,1,2,Gopal,2,2019
medico,220.02,1,1,Heba,5,2017
